front,back,tags,sources,decks,id
How does the domain concern *time to market* translate to architecture characteristics?,"* Agility
* Testability
* Deployability","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,1IUPMhaQcNpTanXxQJCO
What are the steps for Minto's Pyramid Principle of structuring documents?,"1. Start by brainstorming your proposal into a series of arguments that support your answer. 

2. Once you've written them all down, group them into related arguments. 

3. Shape those groups into three top-level arguments, with up to three sub-arguments supporting each of those top-level arguments. 

4. Recursively apply this approach, ensuring each argument summarizes its at-most-three sub-arguments. 

5. Order the arguments within each group by descending importance.","written communication,pyramid principle,structure",https://staffeng.com/guides/present-to-executives,Clear Communication,1WdDcjl4w3O6DtZdEyi7
What are questions that can be used to measure code quality?,"* What percentage of the code is statically typed?
* How many files have associated tests?
* What is test coverage within your codebase?
* How narrow are the public interfaces across modules?
* What percentage of files use the preferred HTTP library?
* Do endpoints respond to requests within 500ms after a cold start?
* How many functions have dangerous read-after-write behavior? Or perform unnecessary reads against the primary database instance?
* How many endpoints perform all state mutation within a single transaction?
* How many functions acquire low-granularity locks?
* How many hot files exist which are changed in more than half of pull requests?","quality,engineering leadership",https://staffeng.com/guides/manage-technical-quality,Engineering Leadership,1caGlmF09OzQXhLdyAlb
What are the eight fallacies of distributed architectures?,"1. The network is reliable
2. Latency is zero
3. Bandwidth is infinite
4. The network is secure
5. The network topology never changes
6. There is only one administrator
7. Transport cost is zero
8. The network is homogeneous",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,1lCAVNLxKcGV8NazIIYP
What are the advantages of a data warehouse?,"* Centralized consolidation of data
* Dedicated analytics silo provides isolation","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,2XyPEyqNMawOaA2RsuQm
When to use *mediator pattern*?,"* When it’s hard to change some of the classes because they are tightly coupled to a bunch of other classes.

* When you can’t reuse a component in a different program because it’s too dependent on other components.

* When you find yourself creating tons of component subclasses just to reuse some basic behavior in various contexts.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,2b9FPtJFk6XryqCvezxN
What are the benefits of moving to a service-based architecture before moving to a microservice architecture?,"* Allows architects to determine granularity of services, i.e., which domains can stay coarse-grained, and which require further breaking apart.
* No need to break apart the database.
* No need for operational automatization (e.g., containerization).
* It is a technical migration, meaning there is rarely a need to involve business stakeholders, change the organisation, or change the testing and deployment environments.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,2bMiSxNsFznY8juvCUGd
What are the six main data disintegrators?,"* Change control - how many services are impacted by a database table change
* Connection management - can the database handle the connections needed from multiple distributed services
* Scalability - can the database scale to meet the demands of the services accessing it
* Fault tolerance - how many services are impacted by a database crash or maintenance downtime
* Architectural quanta - is a single shared database forcing the architecture into an undesirable single architecture quantum
* Database type optimization - can I optimize the data by using multiple database types","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,2kFN3UTC68ofQwyi9dz5
What are *ephemeral environments*?,"Ephemeral environments are environments meant to last for a short amount of time, then discarded. They are **a measure to accelerate the software development cycle**.","software engineering,testing",https://www.bunnyshell.com/blog/what-are-ephemeral-environment,Effective Engineering,2n2wwhjfw5mqa1HKsHpX
What is the *mediator pattern*?,It is a behavioral design pattern that lets you reduce chaotic dependencies between objects. The pattern restricts direct communications between the objects and forces them to collaborate only via a mediator object.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,2vheSTb2rthXc8dXMMsS
What is First Contentful Paint?,The First Contentful Paint (FCP) metric measures the time from when the page starts loading to when any part of the page's content is rendered on the screen.,"web vitals,performance,measurement",https://web.dev/fcp/,Web App Architecture,3FN51DvMZqLhx5qM6its
When to use the *state pattern*?,"* When you have an object that behaves differently depending on its current state, the number of states is enormous, and the state-specific code changes frequently.

* When you have a class polluted with massive conditionals that alter how the class behaves according to the current values of the class’s fields.

* When you have a lot of duplicate code across similar states and transitions of a condition-based state machine.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,3Mjr5DTV2usDQp5xy9Hj
Name eight different types of databases.,"* Relational - store relational data in tables
* Key-value - retrieve a value based on a key
* Document - store full documents, e.g., JSON or XML
* Graph - store data as nodes connect by edges (both can have attributes)
* Column family (or wide column / big table) - each column is a *name-value* pair, where *name* is called a *column-key*, *value* is called *column-value*, and the primary key of a row is called *row key*
* NewSQL - NoSQL databases with features from relational, e.g., ACID
* Cloud-native - a wide variety of database types, e.g. Snowflake, Datomic
* Time-series - store a value with a timestamp and augment with tags","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,3Q9uEE6h1Q1J1mBMUPc1
What is deployment risk?,The risk of breaking something else in the code when deploying a new feature or a bug fix.,software architecture,Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,3VzYdNSl7xdC2rVq9NCh
What is mutation testing?,Mutation testing is a type of software testing in which certain statements of the source code are changed/mutated to check if the test cases are able to find errors in source code.,"software engineering,testing",https://www.guru99.com/mutation-testing.html,Software Architecture,3jko5WUbCT3QWWPjlBQ5
